id;namespace_id;namespace_name;role_name;original_name;repository_id;repository_name;repository_original_name;provider_namespace_id;provider_name;provider_display_name;repository__provider__namespace__name
1897;3010;oesgalha;storyteller;storyteller;44152;storyteller;ansible-role-storyteller;2984;oesgalha;Oscar Esgalha;oesgalha
2515;4573;zealot128;java-certificate;java-certificate;41292;java-certificate;ansible-java-certificate;4573;zealot128;;zealot128
6043;1591;20c;letsencrypt;letsencrypt;39523;letsencrypt;ansible-role-letsencrypt;1575;20c;Twentieth Century;20c
2779;6178;groover;logrotate;logrotate;73752;logrotate;ansible-logrotate;2248;silpion;Silpion IT-Solutions GmbH;silpion
1321;6156;marina;falcon-microservice;falcon-microservice;62525;falcon-microservice;ansible-falcon-microservice;5875;marina-lab;;marina-lab
6071;3323;yamb00;samba;samba;29785;samba;ansible-role-samba;3295;yamb00;;yamb00
3001;5443;bastly;nginx;nginx;60659;nginx;ansible-role-nginx;5443;bastly;;bastly
3789;599;sfromm;elasticsearch;elasticsearch;26120;elasticsearch;ansible-elasticsearch;594;sfromm;Stephen Fromm;sfromm
5820;1140;samsixtyone;epel;epel;73783;epel;epel;1128;samsixtyone;;samsixtyone
7044;4050;javaguirre;drupal_deps;drupal_deps;29077;drupal_deps;ansible-drupal-dependencies-role;4013;javaguirre;Javier Aguirre;javaguirre
8069;3532;dstil;apt-pin;apt-pin;33244;apt-pin;ansible-apt-pin;3500;dstil;;dstil
5567;6071;elao;postgresql;postgresql;33363;postgresql;ansible-role-postgresql;1291;ElaoInfra;Elao - Infra;ElaoInfra
389;6164;warren.strange;opendj;opendj;73798;opendj;ans-opendj;4175;wstrange;;wstrange
3030;5085;L2G;dnsmasq_proxy;dnsmasq_proxy;61459;dnsmasq_proxy;ansible-role-dnsmasq_proxy;5085;L2G;;L2G
7986;946;hellofresh;ansible-archive;ansible-archive;28120;ansible-archive;ansible-archive;937;hellofresh;HelloFresh;hellofresh
7885;2829;vishnudxb;aws-vpc-nat-gateway;aws-vpc-nat-gateway;29788;aws-vpc-nat-gateway;aws-vpc-nat-gateway;2806;vishnudxb;Vishnu Nair;vishnudxb
5568;6071;elao;phppgadmin;phppgadmin;33360;phppgadmin;ansible-role-phppgadmin;1291;ElaoInfra;Elao - Infra;ElaoInfra
5571;6071;elao;java;java;33334;java;ansible-role-java;1291;ElaoInfra;Elao - Infra;ElaoInfra
1186;6185;znzj;nadoka;nadoka;41472;nadoka;ansible-role-nadoka;2798;znz;Kazuhiro NISHIYAMA;znz
5132;6138;xdrum;postfix;postfix;73824;postfix;ansible-postfix;1983;x-drum;Alessio Cassibba (x-drum);x-drum
4976;6142;Ginsys;mysql;mysql;24980;mysql;ansible-role-mysql;430;ginsys;Ginsys;ginsys
4750;3719;milendyankov;liferay-balancer-apache;liferay-balancer-apache;61606;liferay-balancer-apache;ansible-liferay-balancer-apache;5444;azzazzel;;azzazzel
13708;1589;genzouw;php;php;62810;php;php;1573;genzouw;Toshiaki Wakabayashi;genzouw
5204;2435;shrikeh;yum-cron;yum-cron;35229;yum-cron;ansible-yum-cron;2414;shrikeh;Barney Hanlon;shrikeh
7303;2970;entropydown;cassandra;cassandra;73884;cassandra;ansible-cassandra;2945;entropydown;;entropydown
1111;6073;pbuyle;s3fs;s3fs;31833;s3fs;ansible-s3fs;1104;FloeDesignTechnologies;Floe design + technologies;FloeDesignTechnologies
4214;310;davidkarban;bootstrap;bootstrap;27997;bootstrap;ansible-bootstrap;307;davidkarban;David Karban;davidkarban
13906;267;infOpen;mongodb;mongodb;26729;mongodb;ansible-role-mongodb;264;infOpen;infOpen;infOpen
2155;4170;distkloc;gitbucket;gitbucket;73905;gitbucket;ansible-role-gitbucket;4170;distkloc;;distkloc
7476;3943;openprivacy;ansible-roles-openscap;ansible-roles-openscap;62137;ansible-roles-openscap;ansible-roles-openscap;3908;openprivacy;Fen Labalme;openprivacy
1018;4957;Mayeu;gitlab-omnibus;gitlab-omnibus;73924;gitlab-omnibus;ansible-playbook-gitlab;4957;Mayeu;;Mayeu
10105;3727;fcsonline;ssh-port-knocking;ssh-port-knocking;63384;ansible-ssh-port-knocking;ansible-ssh-port-knocking;3692;fcsonline;Ferran Basora;fcsonline
7225;3501;openapphack;mysql;mysql;63395;mysql;ansible-role-openapphack-mysql;3470;openapphack;openapphack;openapphack
1424;5510;hnakamur;epel;epel;74677;epel;ansible-role-epel;5510;hnakamur;;hnakamur
7792;3792;vicenteg;user_account;user_account;73945;user_account;ansible-user_account;3757;vicenteg;Vince Gonzalez;vicenteg
9181;2554;bas-ansible-roles-collection;oracle-jdk7;oracle-jdk7;30051;oracle-jdk7;oracle-jdk7;2532;bas-ansible-roles-collection;BAS Ansible Roles Collection;bas-ansible-roles-collection
4988;1188;kuon;firewalld;firewalld;73937;firewalld;ansible-firewalld;1176;kuon;Nicolas Goy;kuon
6815;6192;virtualenv;php-mysql;php-mysql;62269;php-mysql;ansible-role-virtualenv-php-mysql;2098;wosg-virtualenv;;wosg-virtualenv
5504;3843;thomo;logwatch;logwatch;73947;logwatch;ansible-logwatch;3807;thomo;Thomas Mohaupt;thomo
1005;5510;hnakamur;atom-packages;atom-packages;73950;atom-packages;ansible-role-atom-packages;5510;hnakamur;;hnakamur
22067;3205;aleicher;homebrew;homebrew;52679;homebrew;ansible-role-homebrew;3177;aleicher;Andreas Leicher;aleicher
